x     y     z      f
0.20000 0.40000 0.00000 -0.00004
0.20000 0.40000 0.10000 -0.00004
0.20000 0.40000 0.20000 -0.00007
0.20000 0.40000 0.30000 -0.00006
0.20000 0.40000 0.40000 -0.00002
0.20000 0.40000 0.50000 0.00002
0.20000 0.40000 0.60000 0.00006
0.20000 0.40000 0.70000 0.00007
0.20000 0.40000 0.80000 0.00005
0.20000 0.40000 0.90000 0.00000
0.20000 0.50000 0.00000 -0.00000
0.20000 0.50000 0.10000 -0.00000
0.20000 0.50000 0.20000 -0.00000
0.20000 0.50000 0.30000 -0.00000
0.20000 0.50000 0.40000 -0.00000
0.20000 0.50000 0.50000 0.00000
0.20000 0.50000 0.60000 0.00000
0.20000 0.50000 0.70000 0.00000
0.20000 0.50000 0.80000 0.00000
0.20000 0.50000 0.90000 0.00000
0.20000 0.60000 0.00000 -0.00000
0.20000 0.60000 0.10000 -0.00000
0.20000 0.60000 0.20000 -0.00000
0.20000 0.60000 0.30000 -0.00000
0.20000 0.60000 0.40000 -0.00000
0.20000 0.60000 0.50000 0.00000
0.20000 0.60000 0.60000 0.00000
0.20000 0.60000 0.70000 0.00000
0.20000 0.60000 0.80000 0.00000
0.20000 0.60000 0.90000 0.00000
0.20000 0.70000 0.00000 -0.00000
0.20000 0.70000 0.10000 -0.00000
0.20000 0.70000 0.20000 -0.00000
0.20000 0.70000 0.30000 -0.00000
0.20000 0.70000 0.40000 -0.00000
0.20000 0.70000 0.50000 0.00000
0.20000 0.70000 0.60000 0.00000
0.20000 0.70000 0.70000 0.00000
0.20000 0.70000 0.80000 0.00000
0.20000 0.70000 0.90000 0.00000
0.20000 0.80000 0.00000 -0.00000
0.20000 0.80000 0.10000 -0.00000
0.20000 0.80000 0.20000 -0.00000
0.20000 0.80000 0.30000 -0.00000
0.20000 0.80000 0.40000 -0.00000
0.20000 0.80000 0.50000 0.00000
0.20000 0.80000 0.60000 0.00000
0.20000 0.80000 0.70000 0.00000
0.20000 0.80000 0.80000 0.00000
0.20000 0.80000 0.90000 0.00000
0.20000 0.90000 0.00000 0.00000
0.20000 0.90000 0.10000 0.00000
0.20000 0.90000 0.20000 0.00000
0.20000 0.90000 0.30000 0.00000
0.20000 0.90000 0.40000 0.00000
0.20000 0.90000 0.50000 0.00000
0.20000 0.90000 0.60000 0.00000
0.20000 0.90000 0.70000 0.00000
0.20000 0.90000 0.80000 0.00000
0.20000 0.90000 0.90000 0.00000
0.30000 0.00000 0.00000 0.34549
0.30000 0.00000 0.10000 0.34549
0.30000 0.00000 0.20000 0.55902
0.30000 0.00000 0.30000 0.55902
0.30000 0.00000 0.40000 0.34549
0.30000 0.00000 0.50000 0.00000
0.30000 0.00000 0.60000 -0.34549
0.30000 0.00000 0.70000 -0.55902
0.30000 0.00000 0.80000 -0.55902
0.30000 0.00000 0.90000 -0.34549
0.30000 0.10000 0.00000 0.07662
0.30000 0.10000 0.10000 0.07667
0.30000 0.10000 0.20000 0.10956
0.30000 0.10000 0.30000 0.11123
0.30000 0.10000 0.40000 0.07037
0.30000 0.10000 0.50000 0.00256
0.30000 0.10000 0.60000 -0.06618
0.30000 0.10000 0.70000 -0.10905
0.30000 0.10000 0.80000 -0.10347
0.30000 0.10000 0.90000 0.00000
0.30000 0.20000 0.00000 0.01050
0.30000 0.20000 0.10000 0.01051
0.30000 0.20000 0.20000 0.01438
0.30000 0.20000 0.30000 0.01464
0.30000 0.20000 0.40000 0.00929
0.30000 0.20000 0.50000 0.00038
0.30000 0.20000 0.60000 -0.00866
0.30000 0.20000 0.70000 -0.01427
0.30000 0.20000 0.80000 -0.01321
0.30000 0.20000 0.90000 0.00000
0.30000 0.30000 0.00000 0.00102
0.30000 0.30000 0.10000 0.00102
0.30000 0.30000 0.20000 0.00136
0.30000 0.30000 0.30000 0.00139
0.30000 0.30000 0.40000 0.00089
0.30000 0.30000 0.50000 0.00004
0.30000 0.30000 0.60000 -0.00082
0.30000 0.30000 0.70000 -0.00135
0.30000 0.30000 0.80000 -0.00123
0.30000 0.30000 0.90000 0.00000
0.30000 0.40000 0.00000 0.00008
0.30000 0.40000 0.10000 0.00008
0.30000 0.40000 0.20000 0.00010
0.30000 0.40000 0.30000 0.00010
0.30000 0.40000 0.40000 0.00007
0.30000 0.40000 0.50000 0.00000
0.30000 0.40000 0.60000 -0.00006
0.30000 0.40000 0.70000 -0.00010
0.30000 0.40000 0.80000 -0.00009
0.30000 0.40000 0.90000 0.00000
0.30000 0.50000 0.00000 0.00000
0.30000 0.50000 0.10000 0.00000
0.30000 0.50000 0.20000 0.00001
0.30000 0.50000 0.30000 0.00001
0.30000 0.50000 0.40000 0.00000
0.30000 0.50000 0.50000 0.00000
0.30000 0.50000 0.60000 -0.00000
0.30000 0.50000 0.70000 -0.00001
0.30000 0.50000 0.80000 -0.00001
0.30000 0.50000 0.90000 0.00000
0.30000 0.60000 0.00000 0.00000
0.30000 0.60000 0.10000 0.00000
0.30000 0.60000 0.20000 0.00000
0.30000 0.60000 0.30000 0.00000
0.30000 0.60000 0.40000 0.00000
0.30000 0.60000 0.50000 0.00000
0.30000 0.60000 0.60000 -0.00000
0.30000 0.60000 0.70000 -0.00000
0.30000 0.60000 0.80000 -0.00000
0.30000 0.60000 0.90000 0.00000
0.30000 0.70000 0.00000 0.00000
0.30000 0.70000 0.10000 0.00000
0.30000 0.70000 0.20000 0.00000
0.30000 0.70000 0.30000 0.00000
0.30000 0.70000 0.40000 0.00000
0.30000 0.70000 0.50000 0.00000
0.30000 0.70000 0.60000 -0.00000
0.30000 0.70000 0.70000 -0.00000
0.30000 0.70000 0.80000 -0.00000
0.30000 0.70000 0.90000 0.00000
0.30000 0.80000 0.00000 0.00000
0.30000 0.80000 0.10000 0.00000
0.30000 0.80000 0.20000 0.00000
0.30000 0.80000 0.30000 0.00000
0.30000 0.80000 0.40000 0.00000
0.30000 0.80000 0.50000 0.00000
0.30000 0.80000 0.60000 -0.00000
0.30000 0.80000 0.70000 -0.00000
0.30000 0.80000 0.80000 -0.00000
0.30000 0.80000 0.90000 0.00000
0.30000 0.90000 0.00000 0.00000
0.30000 0.90000 0.10000 0.00000
0.30000 0.90000 0.20000 0.00000
0.30000 0.90000 0.30000 0.00000
0.30000 0.90000 0.40000 0.00000
0.30000 0.90000 0.50000 0.00000
0.30000 0.90000 0.60000 0.00000
0.30000 0.90000 0.70000 0.00000
0.30000 0.90000 0.80000 0.00000
0.30000 0.90000 0.90000 0.00000
0.40000 0.00000 0.00000 0.55902
0.40000 0.00000 0.10000 0.55902
0.40000 0.00000 0.20000 0.90451
0.40000 0.00000 0.30000 0.90451
0.40000 0.00000 0.40000 0.55902
0.40000 0.00000 0.50000 0.00000
0.40000 0.00000 0.60000 -0.55902
0.40000 0.00000 0.70000 -0.90451
0.40000 0.00000 0.80000 -0.90451
0.40000 0.00000 0.90000 -0.55902
0.40000 0.10000 0.00000 0.10237
0.40000 0.10000 0.10000 0.10242
0.40000 0.10000 0.20000 0.15479
0.40000 0.10000 0.30000 0.14749
0.40000 0.10000 0.40000 0.08290
0.40000 0.10000 0.50000 -0.01340
0.40000 0.10000 0.60000 -0.10452
0.40000 0.10000 0.70000 -0.15494
0.40000 0.10000 0.80000 -0.13763
0.40000 0.10000 0.90000 0.00000
0.40000 0.20000 0.00000 0.01296
0.40000 0.20000 0.10000 0.01298
0.40000 0.20000 0.20000 0.01905
0.40000 0.20000 0.30000 0.01773
0.40000 0.20000 0.40000 0.00942
0.40000 0.20000 0.50000 -0.00250
0.40000 0.20000 0.60000 -0.01345
0.40000 0.20000 0.70000 -0.01909
0.40000 0.20000 0.80000 -0.01601
0.40000 0.20000 0.90000 0.00000
0.40000 0.30000 0.00000 0.00120
0.40000 0.30000 0.10000 0.00120
0.40000 0.30000 0.20000 0.00173
0.40000 0.30000 0.30000 0.00158
0.40000 0.30000 0.40000 0.00081
0.40000 0.30000 0.50000 -0.00028
0.40000 0.30000 0.60000 -0.00126
0.40000 0.30000 0.70000 -0.00174
0.40000 0.30000 0.80000 -0.00140
0.40000 0.30000 0.90000 0.00000
0.40000 0.40000 0.00000 0.00009
0.40000 0.40000 0.10000 0.00009
0.40000 0.40000 0.20000 0.00013
0.40000 0.40000 0.30000 0.00012
0.40000 0.40000 0.40000 0.00006
0.40000 0.40000 0.50000 -0.00002
0.40000 0.40000 0.60000 -0.00009
0.40000 0.40000 0.70000 -0.00013
0.40000 0.40000 0.80000 -0.00010
0.40000 0.40000 0.90000 0.00000
0.40000 0.50000 0.00000 0.00001
0.40000 0.50000 0.10000 0.00001
0.40000 0.50000 0.20000 0.00001
0.40000 0.50000 0.30000 0.00001
0.40000 0.50000 0.40000 0.00000
0.40000 0.50000 0.50000 -0.00000
0.40000 0.50000 0.60000 -0.00001
0.40000 0.50000 0.70000 -0.00001
0.40000 0.50000 0.80000 -0.00001
0.40000 0.50000 0.90000 0.00000
0.40000 0.60000 0.00000 0.00000
0.40000 0.60000 0.10000 0.00000
0.40000 0.60000 0.20000 0.00000
0.40000 0.60000 0.30000 0.00000
0.40000 0.60000 0.40000 0.00000
0.40000 0.60000 0.50000 -0.00000
0.40000 0.60000 0.60000 -0.00000
0.40000 0.60000 0.70000 -0.00000
0.40000 0.60000 0.80000 -0.00000
0.40000 0.60000 0.90000 0.00000
0.40000 0.70000 0.00000 0.00000
0.40000 0.70000 0.10000 0.00000
0.40000 0.70000 0.20000 0.00000
0.40000 0.70000 0.30000 0.00000
0.40000 0.70000 0.40000 0.00000
0.40000 0.70000 0.50000 -0.00000
0.40000 0.70000 0.60000 -0.00000
0.40000 0.70000 0.70000 -0.00000
0.40000 0.70000 0.80000 -0.00000
0.40000 0.70000 0.90000 0.00000
0.40000 0.80000 0.00000 0.00000
0.40000 0.80000 0.10000 0.00000
0.40000 0.80000 0.20000 0.00000
0.40000 0.80000 0.30000 0.00000
0.40000 0.80000 0.40000 0.00000
0.40000 0.80000 0.50000 -0.00000
0.40000 0.80000 0.60000 -0.00000
0.40000 0.80000 0.70000 -0.00000
0.40000 0.80000 0.80000 -0.00000
0.40000 0.80000 0.90000 0.00000
0.40000 0.90000 0.00000 0.00000
0.40000 0.90000 0.10000 0.00000
0.40000 0.90000 0.20000 0.00000
0.40000 0.90000 0.30000 0.00000
0.40000 0.90000 0.40000 0.00000
0.40000 0.90000 0.50000 0.00000
0.40000 0.90000 0.60000 0.00000
0.40000 0.90000 0.70000 0.00000
0.40000 0.90000 0.80000 0.00000
0.40000 0.90000 0.90000 0.00000
0.50000 0.00000 0.00000 0.00000
0.50000 0.00000 0.10000 0.00000
0.50000 0.00000 0.20000 0.00000
0.50000 0.00000 0.30000 0.00000
0.50000 0.00000 0.40000 0.00000
0.50000 0.00000 0.50000 0.00000
0.50000 0.00000 0.60000 -0.00000
0.50000 0.00000 0.70000 -0.00000
0.50000 0.00000 0.80000 -0.00000
0.50000 0.00000 0.90000 -0.00000
0.50000 0.10000 0.00000 -0.01351
0.50000 0.10000 0.10000 -0.01352
0.50000 0.10000 0.20000 -0.01409
0.50000 0.10000 0.30000 -0.02026
0.50000 0.10000 0.40000 -0.01928
0.50000 0.10000 0.50000 -0.01090
0.50000 0.10000 0.60000 0.00163
0.50000 0.10000 0.70000 0.01343
0.50000 0.10000 0.80000 0.01856
0.50000 0.10000 0.90000 0.00000
0.50000 0.20000 0.00000 -0.00252
0.50000 0.20000 0.10000 -0.00253
0.50000 0.20000 0.20000 -0.00265
0.50000 0.20000 0.30000 -0.00373
0.50000 0.20000 0.40000 -0.00351
0.50000 0.20000 0.50000 -0.00194
0.50000 0.20000 0.60000 0.00036
0.50000 0.20000 0.70000 0.00250
0.50000 0.20000 0.80000 0.00335
0.50000 0.20000 0.90000 0.00000
0.50000 0.30000 0.00000 -0.00028
0.50000 0.30000 0.10000 -0.00028
0.50000 0.30000 0.20000 -0.00030
0.50000 0.30000 0.30000 -0.00042
0.50000 0.30000 0.40000 -0.00039
0.50000 0.30000 0.50000 -0.00022
0.50000 0.30000 0.60000 0.00004
0.50000 0.30000 0.70000 0.00028
0.50000 0.30000 0.80000 0.00037
0.50000 0.30000 0.90000 0.00000
0.50000 0.40000 0.00000 -0.00002
